abhor	 …'を'ひどくきらう,嫌悪する 
vodka	 ウォッカ(無色透明で穀物やじゃがいもから作るロシアの火酒) 
vogue	 〈C〉(ある時期の)(…の)『流行[品]』,はやり[もの]《+for+名》(fashion) 
voice	 〈U〉(人間の)『声』 / 〈U〉声を出す力,物を言う力 / 〈C〉〈U〉声の質,声の状態(調子) / 〈C〉(人の声を思わせる)(…の)音《+of+名》 / 〈C〉(人の声にたとえた)(…の)音《+of+名》 / 〈U〉〈C〉『発言権』,選択権,投票権 / 〈U〉表現,表明;意見 / 〈C〉(声楽の)声 / 〈C〉(文法で)態 / 〈気持ちなど〉‘を'言い表す,口に出す / 〈音〉‘を'有声音で発音する 
voile	 ボイル(木綿・羊毛・絹・レーヨン製の薄織物) 
vomit	 (胃から)吐く,もどす / 〈煙・灰などが〉吹き出る,吐き出される / 〈胃の中のもの〉‘を'吐き出す / (勢いよく)…‘を'噴出する,吹き出す / 〈U〉吐いた物,嘔吐物 / 〈C〉へどを吐くこと
voter	 投票者;有権者 
vouch	 〈人が〉保証する,請け合う / vouch for it+that 節…であることを保証する / 〈物が〉(…の)保証になる,証明になる《+for+名》 
vowel	 母音 / 《話》母音字 / 母音の 
vying	 vieの現在分詞 
wacky	 気違いじみた,とっぴな 
wader	 水(どろ,雪)の中を歩いて渡る人 / =wading bird / 《複数形で》(釣り人がはく腰まである)防水長靴 
wadge	 (…の)ぎゅっとつめた束《+of+名》　塊（かたまり）　ケーキ一切れ 
wafer	 ウエハース(一種の軽焼き菓子) / (小円形の)封かん紙,封じのり / 聖餐(せいさん)用の薄いパン / (一般に)薄く丸い物
wager	 かけ,かけごと(bet) / かけたもの;かけ金 / かけごとをする,かける / 〈金〉‘を'かける:《wager+名〈金〉+on+名 …に…をかける》
waist	 『腰』,腰部 / (衣服の)『胴部』,ウエスト / (バイオリン・ギターなどの)中央のくびれ 
waits	 (クリスマスの夜,家々を回る)聖歌隊 
waive	 〈権利・主張など〉‘を'自分から放棄する(撤回する) / …‘を'とりあえず見送る(延期する)
waken	 〈人〉‘の'『目を覚まさせる』,‘を'起こす(wake) / 《比喩的に》(…に)…‘を'目覚めさせる,気づかせる,活発にする《+up+名(+名+up)+to+名》
waltz	 ワルツ / 円舞曲 / ワルツを踊る / 〈ダンスのパートナー〉‘を'ワルツでリードする
warez	不法コピーされた商用ソフトウエア  
warty	 いぼ(こぶ)の多い,いぼいぼの 
washy	 (飲み物が)水っぽい,薄い / (色が)薄い,弱い / (感情・文体が)弱い,力のない 
waspy	 スズメバチのような;スズメバチの多い 
waste	 (…に)〈金・時間・路力など〉‘を'『むだに使う』,浪費する《+名+on+名》 / 〈好機など〉‘を'『利用しそこなう』 / 〈体力など〉‘を'『消耗させる』,衰えさせる / 《しばしば受動態で》〈国土など〉‘を'『破壊する』, / 《米俗》…‘を'殺す(kill) / 〈体が〉(だんだん)衰える,やせる,弱る《+away》 / 《まれ》〈物が〉(少しずつ)減る,少なくなる / 〈U〉《時に a~》(…の)『むだ使い』,浪費《+of+名》 / 〈U〉〈C〉《しばしば複数形で》『廃物』,くず,残り物(garbage) / 〈C〉《おもに文》荒野,荒れ地;荒涼とした広がり / 『荒れ果てた』,不毛の:耕されていない;使用されていない / 『廃物の』,くずの,残り物の
watch	 …‘を'『じっと見つめる』,凝視する / …‘を'『見張る』,見守る,監視する,‘の'番をする / …‘を'『世話する』,看護する / …‘に'『注意する』,気をつける / 『じっと見る』,見守る / 『見張りをする』,監視する,警戒する / 《文》夜寝ないでいる;寝ずに看病する / 〈C〉《しばしば複合語を作って》(携帯用の)『時計』, / 〈U〉《時に a watch》『横張り』,警戒,用心 / 〈C〉見張り(監視)時間;〈U〉当直 / 〈C〉《しばしば the watch》番人,看守,警備員 
water	 〈U〉水 / 《しばしば複数形で》『海』(『湖,川』)『の水』 / 《複数形で》流れる水;(海・川・湖などの)波立つ水《+of+名》 / 《複数形で》(特定の)水域,領海,近海 / 〈U〉潮位,水位;《the water》水面 / 〈U〉分泌液(涙・汗・尿など) / 〈U〉溶液,…水 / 《複数形で》(飲用の)鉱泉水 / 〈U〉(織物・金属などの)波紋 / …‘に'『水をかける』(まく,やる) / 〈動物〉‘に'水を飲ませる / …‘に'水を供給する;…‘を'潅漑(かんがい)する / 〈液体など〉‘を'水で割る,薄める《+名+down,+down+名》 / 〈織物・金属など〉‘に'波紋(波模様)をつける / 〈動物などが〉水を飲む:〈船・機関などが〉給水を受ける / 〈目・口などが〉分泌液を出す
waver	 (上下・前後・左右に不安定に)『揺れる』;〈チョウなどが〉ひらひらと動く;〈人が〉よろめく / 〈光などが〉『揺らめく』,ちらちらする;〈音・声などが〉震える / 〈気分・物価などが〉不安定になる;(…と…の間を)揺れ動く《+between+名+and+名》 / 〈人が〉『迷う』,ためらう,たじろぐ
waxed	 ろうを塗った,ろう引きの 
waxen	 ろう製の / ろうのように青白い
weald	 森林地帯 
weary	 『疲れた』,疲れはてた / 人を疲れさせる / 『あきあきさせる』,退屈な / 〈人〉を『疲れさせる』 / (…で)〈人〉‘を'『退屈させる』,うんざりさせる《+名〈人〉+with+名(doing)》 / (…に)疲れる,うんざりする《+of+名(doing)》
weigh	 …‘の'『重さを計る』 / 〈ある重さ〉‘を'『計量する』,計る / (…と比較して)…‘を'『検討する』,考慮する〈+名 against+名〉 / 『重さがある』,目方がかかる / (…にとって)『重要である』,(…に)重要糸される〈+with+名〉 
weird	 起自然的な,不思議な,気味の悪い / 『話』変な,妙な
welch	 =welsh 
welsh	 (人のかけ金・借金を)踏み倒す《+on+名》 / (人の約束を)破る《+on+名》
wench	 (特に田舎の)女の子,娘;淫婦 
whack	 …‘を'ピシッと打つ / ピシッと打つこと,強打;ピシッという音 / 《単数形で》《話》試み / 《単数形で》《話》(公平,平等な)分け前
whale	 鯨: 捕鯨に従事する　〔話〕 非常に大きい［すごい］もの (a ～ at [for, on] …の得意［熱心］な人)
wharf	 波止場,埠頭 
wheal	 (腫れてかゆい)虫さされ,(蚊の)刺し跡 / みみずばれ(=wale)
wheat	 小麦 
whelk	 エゾバイ(食用の巻き貝) 
whelm	 …‘を'水中に沈める / …‘を'圧倒する
whelp	 (犬・オオカミ・猫・ライオンなどの動物の)子供 / 《軽べつして》がき,小僧 / 〈動物が〉子を生む 
while	 《通例 a while》『時間,』間,(特に)少しの時間 / 『…する間に(は)』 / 《譲歩》『…であるが,』…なのに / 《比較・対照》(…だが)『一方では』 / 《類似・対応》そして[その上] / 《英北東部》《俗》…まで(until) 
whine	 〈サイレン・子供・犬などが〉悲しそうな声を立てる,鼻を鳴らす / 泣き言を言う,ぐちをこぼす,だだをこねる / …‘を'哀れっぽい声で言う,だだをこねる;く…である〉‘と'哀れっぽく言う《+that 節》 / すすり泣き,クンクン(ピーピー)いう声 / 泣き言 
whipt	 whip の過去・過去分詞 
whirl	 『ぐるぐる回る』,旋回する,渦巻く / 《方向を表す副詞[句]を伴って》く人・動物などが〉『急に向きを変える』 / 《方向・状態を表す副詞[句]を伴って》〈人・車などが〉『疾走する』 / 〈頭などが〉くらくらする,めまいがする / …‘を'『ぐるぐる回す』,旋回させる,渦巻かせる / 《方向・状態を表す副詞[句]を伴って》…‘を'さっと運ぶ / 回転,旋回;渦《+of+名》 / 〈U〉《しばしば a whirl》(心などの)乱れ,混乱 / 〈C〉《単数形で》(事件・会合などの)めまぐるしい連続《+of+名》 
whisk	 (ちりなどを払う)小ぼうき,毛ぼうき / (針金を輪にして組み合わせた)泡立て器 / 《a whisk》(手・はたきなどの)一払い《+of+名》 / …‘を'さっと払うように振る / …‘を'払い落とす;さっと持っていく《+名+off(away),+off(away)+名》 / 〈卵・クリーム〉‘を'泡立てる / 《方向を表す副詞[句]を伴って》さっといなくなる 
whist	 ホイスト(四人二組に分かれてするカードゲーム;今のブリッジの前身) 
white	 〈U〉『白』,白色 / 〈U〉〈C〉白いもの;(特に)『卵の白身』 / 〈U〉『白衣』,白色の服;《しばしば複数形で》白の制服(運動着など) / 〈C〉白人 / 『白い』,白色の,純白の / (恐怖で人・顔・唇などが)『青白い』,血の気のない(pale) / (皮膚の色の)白い,白人の / (髪・ひげなどが)銀色の,改色の / 雪のある,雪の積もった / 《おもに古》潔白の,罪のない / 《英》(コーヒーが)ミルク入りの / …‘を'白くする,漂白する
whole	 《the ~,one's ~ の形で名詞の前に用いて》『全体の』,全部の,全… / 《名詞の前にのみ用いて》(時間・距離などが)『まる』…,満… / (物が)完全な,欠けていない;《名詞の後に置いて》丸ごとで,ひとかたまりに / 《冠詞をつけずに複数名詞の前に用いて》ひじょうに多くの / 《古》(人が)無傷の,(肉体的に)健康な / 整数の,分数を含まない / 〈U〉《the ~》(…の)『全部』,全体,全量《+of+名》 / 〈C〉完全なもの,統一体
whore	 売春婦(prostitute) 
whorl	 輪生(茎の1点の周囲に3枚以上の葉がつくこと) / (巻き貝の)一巻き / (指紋の)渦巻 
whose	 《疑問代名詞》 / 『だれの』 / 『だれのもの』 / 《関係代名詞》 / 《制限用法》『その』(…する,…した)『ところの』[人,物,事] / 《非制限用法》『そして(しかし)その人の…は(が,お,に)』
widen	 …‘を'広くする / 広くなる
width	 〈U〉〈C〉(幅の)『広さ』,幅,横 / 〈C〉一定の幅のもの(織物)
wield	 《古・文》〈武器・道具など〉‘を'使いこなす,用いる / 〈権力・武力など〉‘を'振るう,行使する
wight	 人,人間 
wilco	 (電波受信で)了解　「will comply」を縮めた言い方 
wimpy	 軟弱な、弱虫の、根性のない、無気力な、野暮ったい、女々しい、駄目な、無能な 
wince	 (恐怖・空痛などに)ひるむ,たじろぐ,すくむ《+at+名》 / ひるみ,たじろぎ
winch	 巻き上げ機,ウィンチ / Gをウィンチで巻き上げる《+up(away)+名,+名+up(away)》
windy	 『風の吹く』,風の強い / 風の当たる,風を受ける / 内容のない,空虚な;おしゃべりな,口数の多い / 《おもに英俗》びくびくした,おびえた
wiper	 ぬぐう人(物) / (車の)ワイパー(=windscreen wiper)
wispy	 一場(束)の,小さな,か細い 
witch	 『女の魔法使い』,魔女,女妖術使い / 醜い老婆,鬼ばば / 魅惑的な女 
withe	 (柳などの)細枝(まきなどを束ねる材料) 
withy	 =withe 
wives	 wife の複数形 
woken	 wake の過去分詞 
woman	 〈C〉(成人した)『女』,女性,婦人 / 〈U〉《冠詞をつけずに》『女性[全体]』,女 / 〈C〉《the womanhood》女らしさ,女性特有の感情(性格,言葉づかいなど) / 〈C〉(主婦の代りに)家事をする女性,お手伝いさん;(女王に仕える)侍女,女官 / 〈C〉《修飾語[句]を伴って》妻,恋人,愛人 
women	 woman の複数形 
wonky	 ぐらぐらする,よろめく 
wordy	 口数の多い / 言葉の
world	 《the world》『世界』,地球 / 《the world》(特定の時代・特徴・地域に限られた)世界,《one's world》(個人の生活・経験などの)世界 / 《the world》宇宙 / 〈C〉(特に生物がいる)天体 / 《the world》『世界の人たち』,世間の人たち / 《the world》『世間』,世の中,現世;《文》世俗,俗事 / 《修飾語を伴って》《the world》(特定のグループの作る)世界,(動植物の生存する)界 / 《a world, the world》大量(の…),たくさん(の…)《+of+名》
wormy	 虫のついた,虫の食った;虫だらけの / 虫けらのような;浅ましい
