abed	 寝床に(in bed) 
twig	 『小枝』,細枝(branch よりさらに分かれた枝をいう) 
twin	 『双生児の一人』;《複数形で》双生児,ふたご / よく似た人(物)の片方;《複数形で》対 / ふたごの;対の / 〈ある都市〉‘を'(…と)姉妹関係にする《+名+with+名》
type	 〈C〉(…の)『型』,タイプ,類型,種類(kind)《+of+名》 / 〈C〉(その種類の特質を最もよく表している)『典型』,手本,模範《+of+名》 / 〈U〉《集合的に》活字;〈C〉(1個の)活字 / 〈U〉(印刷された)字体,活字 / 〈C〉(貨幣・メダルなどの)模様,図柄 / 〈C〉血液型(blood group) / …‘を'タイプに打つ / (…として)…‘を'分類する《+名+as+名(doing)》 / …‘の'型を決める / タイプライターを打つ
tyre	 =tire
tzar	 =czar 
ugly	 (外見・容ぼうが)『醜い』,ぶかっこうな / 『不快な』,いやな(disagreeable) / (道徳的に)悪い,ひんしゅくを買う / (天侯・事態などが)『険悪な』,荒れ模様の / 《話》不きげんな;気むずかしい;けんか好きな: 
ulna	 (人の腕,動物の前肢の)尺骨 
undo	 〈結び目など〉‘を'『開く』,ゆるめる,〈ボタンなど〉‘を'はずす / 〈包みなど〉‘を'『開ける』;〈かんぬきなど〉‘を'はずす / 〈一度やったこと〉‘を'『元どおりにする』,取り消す / 《文》《しばしば受動態で》…‘を'破滅させる,だめにしてしまう
unit	 《集合的に》『構成単位』;(学習の)『単元』;(全体を構成する)部門,部隊 / (特定用途の)設備[一式],器具[一そろい] / (測定基準としての)『単位』;(…の)単位《+of+名》,(…する)単位《+for doing》 / 正の最小整数(1)
unto	 …に,の方へ,まで(to) 
upon	 『…の上に』 
urea	 尿素(にょうそ) 
urge	 〈人・馬など〉‘を'『駆り立てる』,〈進行・活動など〉‘を'急がせる,早める / 〈人〉‘を'『促す』,せきたてる:《urge+名〈人〉+to do 人をせかして…させる》 / (人に)…‘を'『力説する』,強く主張する(支持する,すすめる)《+名+upon(on)+名〈人〉》 / 《しばしば an ~》強い衝動,駆り立てる欲望:《urge for(to)+名…への衝動》
uric	 尿の,尿に関する(含まれている),尿から得られる 
used	 『使い古しの』,使用した 
user	 使用者,消費者 / 財産権[の使用]
vail	 (尊敬・服従を表して)〈頭・目など〉‘を'下げる / おじきする
vain	 『虚栄心の強い』,うぬぼれの強い,(容姿・能力などを)鼻にかける / 『むだな』,無益な,なんにもならない / むなしい,中身のない,空虚な 
vale	 谷,谷間 
vamp	 (靴の)つま先革 / 《話》即席伴奏 / 〈靴〉‘に'新しいつま先革をつける / …‘に'つぎをあてる,‘を'直す / 《話》〈曲・踊り〉‘に'即席で伴奏をつける《+名+up(out),+up(out)+名》 
vane	 =weather vane / (風車・扇風機・推進器などの)翼
vary	 (…から…に)『変わる』,変化する《+from+名+to+名》 / (…の点で)『互いに異なる』,いろいろである《+in(on)+名》 / …‘を'『変える』,変更する / …‘に'変化をつける,‘を'変化に富ませる
vase	 『花びん』;(装飾用の)つぼ 
vast	 『広大な』,広範囲な / (数・量・程度などにおいて)ものすごい,ばく大な
veal	 子牛の肉 
veil	 {C}『ベール』(婦人が顔を隠したり,装飾のために頭・肩などにまとう) / {C}(修道女の)ベール;修道女の生活 / {U}《しばしばa ~》(…を)おおい隠すもの(たれ幕,とばりなど),仮面,口実《+of+名》 / …‘を'ベールでおおう;…‘を'おおい隠す
vein	 〈C〉『静脈』 / 〈C〉(植物の)葉脈;(昆虫の)翅脈;(石の)石理;(木の)木目 / 〈C〉岩脈,鉱脈 / 〈U〉《しばしば a vein》(…の)傾向,性質《+of+名》 / 〈U〉《the vein》(…に対する)気分,気持ち《+for+名(doing)》 
vend	 (特に)〈小さな品物〉‘を'売る,行商する / (法律で)〈土地など〉‘を'売却する
vent	 (気体・液体の出入する)『抜け口』,漏れ口,通風(気)孔 / (鳥・魚などの)肛門 / 《単数形で》(感情の)はけ口 / …‘に'出口(はけ口)を与える / (…に向けて)〈感情など〉‘を'あらわにする,漏らす《+名+on+名》 
verb	 『動詞』 
very	 《副詞・形容詞・分詞形容詞を強めて》『非常に』,とても,たいへん,きわめて / 《否定語と共に用いて》『あまり』,さほど,たいして(…でない) / 《same, opposite, [one's]ownなどの前で》『真に,まったく』,ほんとうに / 《古》まったくの,本物の,真の / 《the(this,that,one's)~》『まさにその』,ちょうどその / 《the(one's)~》ただ…だけで(mere);(…)でさえ,までも(even)
vest	 《米》『チョッキ』(《英》waist-coat) / 《英》=undershirt / 《文》(権利・財産などを)<人>‘に'与える,授ける,付与する《+名<人>+with+名》 / (人に)<権利・財産など>‘を'与える,授ける《+名+in+名<人>》 / 《古》《詩》(法衣などを)〈人〉‘に'着せる / <権利・財産などが>(人に)属する,帰属する《+in+名》 / 《古》《詩》祭服を着る 
veto	 〈U〉拒否権;拒否権の行使 / (またveto message)〈U〉拒否通告状,拒否教書 / 〈C〉(一般に)(…の)拒否《+on+名》 / (拒否権を行使して)<議案など>‘を'拒否する / (一般に)…‘を'拒否する,光止する 
vial	 =phial 
vice	 〈U〉『悪徳』,不道徳 / 〈C〉(特定の)『悪徳行為』;《話》『悪習』,悪癖 / 〈C〉《話》欠点,欠陥 / 〈C〉〈U〉(馬・犬などの)悪癖
vide	 (特に読者に対して参照のため)…を見よ 
view	 〈C〉〈U〉(…を)『見ること』,ながめること,一見,一覧《+of+名》 / 〈U〉(…の)『視界』,視野《+of+名》 / 〈U〉《しばしばa ~》(…の)『ながめ』,光景,けしき《+of+名》 / 〈C〉(…の)風景画(写真)《+of+名》 / 〈C〉《しばしば単数形で》『見方』,考え方,見解 / 〈C〉意図
vile	 『下劣な』,堕落した,不道徳な / 身分の卑しい,みじめな / 《話》ひどく不快な;ひどく悪い 
vine	 (ツタ,キュウリなどの)『つる植物』 / =grapevine 1
vino	 安い普通のぶどう酒 
viol	 バイオル(16,17世紀に用いられた弦楽器で現在のviolin の前身) 
visa	 (旅券の)査証,ビザ,入国出国許可 / 〈旅券〉‘を'査証する
vise	 万力(まんりき)(《英》vice) 
void	 (法的に)『無効な』 / 《文》『空虚な』,からっぽの / 《補語にのみ用いて》《be void of+名》(…が)『ない』,欠けた / 〈U〉《the ~》(地球の回りの)『空間』,空所,虚空 / 〈C〉《単数形で》(地面・壁などの)すきま,割れ目 / 〈C〉《単数形で》『空虚感』,物足りなさ / (法的に)…‘を'無効にする / …‘を'からにする;…‘を'排泄(はいせつ)する
vole	 ハタネズミ(mouseやratの類だが尾の短いのが特色) 
volt	 ボルト(電圧の単位;{略}V;イタリアの物理学者 Alessandro Volta(1745‐1827)の名にちなんで) 
vote	 〈C〉『票』 / 〈C〉『投票』;(投票・挙手・起立などの)意志表示 / 〈C〉(…に関する)(投票・挙手・起立などによる)『決定』,票決《+on(about)+名》 / 《the vote》《時に複数形で》『投票権』,選挙権 / 《the vote,時に a vote》《集合的に》投票数,得票[数] / 投票する / 〈人〉‘に'『票を入れる』,投票する / 〈法案・予算など〉‘を'可決する / 《vote+名+名〈補〉》《話》《しばしば受動態で》世間が一致して…‘を'(…と)見なす / 《vote+that 節》《話》…すること‘を'提案する
wack	 おい,君 
wade	 《方向を表す副詞[句]を伴って》(川・雪などの中を)『歩く』 / 《話》(…を)苦労して進む,やっと切り抜ける《+through+名》 / 〈川など〉‘を'歩いて渡る 
waft	 …‘を'ふわりと運ぶ,漂わせる《+名+along》 / (空中を)ふわりと動く,漂う《+along》 / 一吹きの風 / 漂うにおい / 軽く手を一振りすること 
wage	 (通例肉体労働者の日・週ぎめの)『賃金』,給金 / 《単数・複数扱い》(罪などの)報い,応報 / (…に対して)〈戦争など〉‘を'行う《+名+against(on)+名》 
waif	 《文》放浪者,(特に)浮浪児 / 迷子になった動物
wail	 (苦しみ・悲しみなどで)泣き叫ぶ《+with(for)+名》 / 〈風などが〉悲しげな音を立てる / 《軽べつして》(…を)ぐちる,こぼす《+over(about)+名》 / …‘を'嘆く;〈…である〉‘と'嘆き悲しむ《+that 節》 / 嘆き悲しむこと;泣き叫ぶ声 
wain	 =wagon 
wait	 『待つ』 / 〈事が〉そのままにしておける,延期できる / (期待して)〈機会・合図など〉‘を'『待ち受ける』,待機する / 《話》(人や物を待って)…‘を'遅らせる / 〈C〉待つこと;待ち時間 / 〈U〉待ち伏せ
wake	 『目を覚ます』(awake)《+up》 / 《文》目を覚ましたままでいる,寝ずにいる《+up》 / (…に)気づく,目覚める《+up to+名》 / 〈人〉‘の'『目を覚まさせる』,‘を'起こす(awaken)《+名+up,+up+名》 / 《比喩的に》(…に)…‘を'目覚めさせる,窪づかせる,活発にする《+up+名(+名+up)+to+名》 / (死者のために)通夜をする / 《おもにアイルランド・イギリス北部》通夜 
wale	 むちで打たれた跡,みみずばれ / (織物などの)うね / 〈皮膚〉‘を'みみずばれにする 
walk	 《様態・方向を表す副詞[句]を伴って》『歩く』,『歩いて行く』 / 『散歩をする』,ぶらつく / (特定の態度で)ふるまう,生きる / (野球で)フォアボールで一塁に出る / (バスケットボールで)(パス・ドリブルしないで)3歩以歩く / 〈場所・道など〉‘を'『歩く』 / 〈動物〉‘を'歩かせる;〈人〉‘と'いっしょに歩く,‘を'案内する / 〈時間〉‘を'歩いて費やす《+away+名,+名+away》 / (野球で投手がフォアボールを与えて)〈打者〉‘を'一塁に歩かせる / 『歩くこと』,歩行 / 『散歩』,遠足 / 『歩行距離』,道のり / 『歩道』,散歩道,遊歩道 / (特徴をもった)湾き方,歩きぶり / (人・動物の)並み足,正常歩 / 職業,地位 / (野球で)フォアボールで一塁に出ること 
wand	 棒,(特に奇術師の)つえ / (職権を表す)職杖
wane	 〈月が〉『欠ける』;〈潮が〉引く《+away》 / 〈光・勢力などが〉衰える,弱まる / 〈季節などが〉終りに近づく / 月が欠けること / 衰え,衰弱 
wank	 =masturbate / =masturbation
want	 〈物事〉‘を'『ほしがる』,望む / 『…‘を'必要とする』 / want doing《おもに英》…されることが必要である / 〈人・物が〉…‘を'欠いている;〈ある数量〉‘だけ'不足している / 《しばしば受動態で》〈人〉‘に'『用がある』,会いたい,‘を'捜している / 『困窮する』;(…に)欠ける,(…が)無くて困る,(…を)必要とする《+for+名》 / 〈U〉《時に a want》(…の)『欠乏』,不足《+of+名》 / 〈U〉(…の)『必要』,入用《+of+名》 / 〈U〉困窮,貧困 / 《複数形で》必要なもの,ほしいもの
ward	 〈C〉『病棟』,病室 / 〈C〉(刑務所の)監房 / 〈U〉(未成年者などの)後見,保護;〈C〉被後見人 / 〈C〉(行政区画の)『区』 / 〈U〉警備,見張り / 〈危険・病気など〉‘を'避ける,‘から'身を守る《+off+名,+名+off》
ware	 《文》《複数形で》商品 / 〈U〉陶器
warm	 (気候が適度に)『暖かい』,温暖な / (飲み物などが適度に)『暖かい』,(衣服・場所などが)暖かく感じられる,(人が)暖まった,ほてる / 『心の暖かい』,思いやりのある;心からの,愛情のこもった / 熱した,激した,興奮した / (色が)暖かい,暖色(赤または黄を含む色)の / (獲物の遺臭・通った跡が)新しい,生々しい / 《話》(当て物ゲームなどで目的物に)近い,もう少しの / 『…‘を'暖める』,暖かくする《+up+名,+名+up》 / 〈人・心〉‘を'興奮させる,活気づける;〈人・心〉‘を'暖かい気持ちにする《+up+名,+名+up》 / 『暖まる』,暖かくなる《+up》 / 熱心になる,活気づく,興奮する《+up》 / (人・物に)優しくなる,好意を持つ《+to(toward)+名》 / 《a~》暖まること / 《the~》暖かい場所
